Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Expansion																																																															100	100	100																																																																																																																							
Null	Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	50				100	100	100							0	0																																																																																										0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Town	Rogue Encampment	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	1	0	0	2025	0	25	50				100	100	100							0	0																																																																														chicken				30	30							0	1	0	Rogue Encampment	To The Rogue Encampment	EnteringTheRogueEncampment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Wilderness 1	Blood Moor	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	1	26	51	1	52	90	700	900	900	33	40	42	54	42	54	1	0	4	zombie1	fallen1	quillrat1	nihlathakboss																							zombie1	fallen1	quillrat1	succubus11																						zombie1	fallen1	quillrat1																																			0	2	255	Blood Moor	To The Blood Moor	EnteringTheBloodMoor	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0
Act 1 - Wilderness 2	Cold Plains	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	2	27	52	2	52	90	700	900	900	33	40	42	54	42	54	1	0	11	bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2																												0	2	1	Cold Plains	To The Cold Plains	EnteringTheColdPlains	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0
Act 1 - Wilderness 3	Stony Field	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	4	29	54	4	53	90	700	900	900	33	40	42	54	42	54	1	0	11	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2															fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2																												0	2	2	Stony Field	To The Stony Field	EnteringTheStonyField	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0
Act 1 - Wilderness 4	Dark Wood	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	5	30	55	5	54	90	700	900	900	33	40	42	54	42	54	1	0	11	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2															fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2																												0	2	3	Dark Wood	To The Dark Wood	EnteringTheDarkWood	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0
Act 1 - Wilderness 5	Black Marsh	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	6	31	56	6	54	90	700	900	900	33	40	42	54	42	54	1	0	11	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2															fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2																												0	2	4	Black Marsh	To The Black Marsh	EnteringTheBlackMarsh	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0
Act 1 - Wilderness 6	Tamoe Highland	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	8	33	58	8	55	90	700	900	900	33	40	42	54	42	54	1	0	11	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2															fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2																												0	2	255	Tamoe Highland	To The Tamoe Highland	EnteringTheTamoeHighland	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0
Act 1 - Cave 1	Den of Evil	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	1	26	51	1	52	90	700	900	900							1	0	11	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2															fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	crownest2	skeleton2	brute2	goatman2	fallenshaman2																rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	EnteringTheDenOfEvilInQuest	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0
