Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Gold			1						gld	1																									0
Lesser Orbs			1						oot	90	uoa	50	aws	15	rgo	15	bso	5	cha	4															0
High Orbs			1						bso	60	dvo	4	val	6	jwo	16	Lesser Orbs	140	cup	1															0
POE1			1						kom	1																									0
Whetstones 1			1						wts	1	fws	1	tws	1	cws	1	mws	1	hoa	cha	5														0
Wand Orbs 1			1						tho	1	ico	1	fio	1																					0
Advanced Craft 2			1						hmb	3	foa	1	hsa	1	kom	1																			0
Advanced Craft			1						hsa	1	uhs	1	cop	1	gop	1	gbd	1	coa	1	cor	1													0
Bonebreak N			1					20	Fujis Fury	1	Sworden Tors	1	Goron	1	Seismic Coldguard	1	Palladium Of Zakarum	1	Signet Of The Light	1	Ultraconductor	1													0
Rakanishu N			1					20	Stone Gauntlets	1	Sickly Walkers	1	Venomsward	1	Iceblink	1	Etude	1	Guardsman Plate	1	Ice Maiden Signet	1													0
LG 1		27	1						je1	1	je2	1	je3	1	je4	1	je5	1	je6	1	je7	1	je8	1	je9	1									0
LG 2		27	1						kop	1	kom	1																							0
Lenses			1						lns	1	ln2	1																							0
LG 3		27	1						kop	1	kom	1																							0
Jewelry A			1						rin	64	amu	32	jew	24	cm3	14	cm2	14	cm1	14	gop	3	ins	2	uoa	2	cha	2							0
Jewelry B			1						rin	32	amu	16	jew	12	cm3	6	cm2	6	cm1	6	gop	3	ins	2	uoa	2	cha	2							0
Jewelry C			1						rin	32	amu	16	jew	12	cm3	6	cm2	6	cm1	6	gop	3	ins	2	uoa	2	cha	2							0
Chipped Gem			1						gcv	15	gcy	15	gcb	15	gcg	15	gcr	15	gcw	15	skc	10	uoa	2	oot	5									0
Flawed Gem			1						gfv	15	gfy	15	gfb	15	gfg	15	gfr	15	gfw	15	skf	10	Whetstones 1	5	oot	2									0
Normal Gem			1						gsv	15	gsy	15	gsb	15	gsg	15	gsr	15	gsw	15	sku	10	Whetstones 1	5	oot	2									0
Flawless Gem			1						gzv	15	gly	15	glb	15	glg	15	glr	15	glw	15	skl	10	Whetstones 1	5	oot	2									0
Perfect Gem			1						gpv	15	gpy	15	gpb	15	gpg	15	gpr	15	gpw	15	skz	10	kom	1	kop	1									0
Ammo			1						aqv	125	cqv	125																							0
Misc 0			1					88	key	2	tsc	2	isc	3	opl	1	gpl	1	hoa	3	oot	5	uoa	4											0
Misc 1			1					88	key	2	tsc	2	isc	3	opm	2	gpm	2	hoa	3	oot	5	uoa	4											0
Misc 2			1					88	key	2	tsc	2	isc	3	ops	2	gps	2	hoa	3	oot	5	uoa	4											0
Hpotion 1			1					99	hp1	1	hp2	1	mp1	1	mp2	1	rvs	1	uoa	7															0
Hpotion 2			1					99	hp1	1	hp2	1	hp3	1	mp2	1	mp3	1	uoa	7															0
Hpotion 3			1					99	hp2	1	hp3	1	hp4	1	mp3	1	mp4	1	uoa	7															0
Hpotion 4			1					99	hp3	1	hp4	1	hp5	1	mp4	1	mp5	1	uoa	7															0
Hpotion 5			1					99	hp3	1	hp4	1	hp5	1	mp5	1	rvs	1	uoa	7															0
Hpotion 6			1					99	hp4	4	hp5	1	mp4	2	mp5	4	rvs	1	uoa	7															0
Potion 1			1					99	hp1	1	hp2	1	mp1	1	mp2	1	rvs	1	vps	1															0
Potion 2			1					99	hp1	1	hp2	1	hp3	1	mp2	1	mp3	1	rvs	1	vps	1	yps	1	wms	1									0
Potion 3			1					99	hp2	1	hp3	1	hp4	1	mp3	1	mp4	1	rvs	1	vps	1	yps	1	wms	1									0
Potion 4			1					99	hp3	1	hp4	1	hp5	1	mp4	1	mp5	1	rvs	1	vps	1	yps	1	wms	1									0
Potion 5			1					99	hp3	1	hp4	1	hp5	1	mp5	1	rvs	1	vps	1	yps	1	wms	1											0
Potion 6			1					99	hp4	1	hp5	1	mp4	1	mp5	1	rvs	1	vps	1	yps	1	wms	1											0
Runes 1			1					18	r01	90	r02	60	Whetstones 1	21	Lesser Orbs	10																			0
Runes 2			1					18	r03	15	r04	10	Runes 1	30	Whetstones 1	3	hoa	3	Lenses	1	cha	1	oot	1	uoa	1	kom	1							0
Runes 3			1					15	r05	15	r06	10	Runes 2	75	Whetstones 1	3	hoa	3	Lenses	1	cha	1	oot	1	uoa	1	kom	1							0
Runes 4			1					19	r07	15	r08	10	Runes 3	105	Whetstones 1	3	hoa	3	Lenses	1	cha	1	oot	1	uoa	1	kom	1							0
Runes 5			1					18	r09	15	r10	10	Runes 4	110	Whetstones 1	3	hoa	3	Lenses	1	cha	1	oot	1	uoa	1	kom	1							0
Runes 6			1					18	r11	15	r12	10	Runes 5	350	Whetstones 1	3	hoa	3	Lenses	1	Wand Orbs 1	1	oot	1	uoa	1	kom	2							0
Runes 7			1					12	r13	15	r14	10	Runes 6	400	Whetstones 1	3	hoa	3	Lenses	1	Wand Orbs 1	1	oot	1	uoa	1	kom	2							0
Runes 8			1					12	r15	15	r16	10	Runes 7	400	Whetstones 1	3	hoa	3	Lenses	1	Wand Orbs 1	1	oot	1	uoa	1	kom	2							0
Runes 9			1					5	r17	15	r18	10	Runes 8	720	Whetstones 1	3	hoa	3	Lenses	1	Wand Orbs 1	1	oot	1	uoa	1	kom	2							0
Runes 10			1					5	r19	15	r20	10	Runes 9	1290	Whetstones 1	3	hoa	3	Lenses	1	Wand Orbs 1	1	oot	1	uoa	1	kom	2							0
Runes 11			1					5	r21	15	r22	10	Runes 10	4630	kom	2	kop	2	oot	1	uoa	1	kom	4	cha	1									0
Runes 12			1					5	r23	18	r24	16	Runes 11	6150	kom	2	kop	2	oot	1	uoa	1	kom	5	cha	1									0
Runes 13			1						r25	18	r26	16	Runes 12	7850																					0
Runes 14			1						r27	18	r28	16	Runes 13	8000																					0
Runes 15			1						r29	18	r30	16	Runes 14	8500																					0
Runes 16			1						r31	18	r32	16	Runes 15	9000																					0
Runes 17			1						r33	5	Runes 16	10000																							0
Act 1 Junk			1						Potion 1	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	125	Lesser Orbs	700	kom	1													0
Act 2 Junk			1						Act 1 Junk	30	Potion 2	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	700	kom	2											0
Act 3 Junk			1						Act 2 Junk	30	Potion 3	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	700	kom	3											0
Act 4 Junk			1						Act 3 Junk	30	Potion 4	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	700	kom	4											0
Act 5 Junk			1						Act 4 Junk	30	Potion 1	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	700	kom	5											0
