name	*order	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Cap	1	0	0	1	1	1	3	0	70	70	0	12	0	1	1	0	64	1508	cap	cap		905	cap	cap	xap						uap	0	2	2	1	2	1	flpcap	invcap	invcapu	invcapu							0					0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0			0	3	0	0	0			0	1	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	8	1	skp	ghm	1	0	
Skull Cap	2	0	0	1	1	14	16	0	70	70	0	18	0	7	1	0	441	2776	skp	skp		905	skp	skp	xkp						ukp	0	2	2	1	2	1	flpskp	invskp									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3	1	1	1	1	10		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	8	1	hlm	crn	1	0	
Helm	3	0	0	1	1	33	35	0	70	70	0	24	0	16	1	0	1558	6142	hlm	hlm		905	hlm	hlm	xlm						ulm	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255		1		1	1					255	1	2	1	1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255	2	8	1	fhl	ghm	1	0	
Full Helm	4	0	0	1	1	77	85	0	122	61	0	30	0	22	1	0	3095	10803	fhl	fhl		905	fhl	fhl	xhl						uhl	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255	1	1		1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	1	ghm	xxx	1	0	
Great Helm	5	0	0	1	1	183	202	0	188	94	0	40	0	34	1	0	6177	24759	ghm	ghm		905	ghm	ghm	xhm						uhm	0	2	2	1	3	1	flpghm	invghm									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255	2	2	1	1	1					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20					1		1	1	1	20					255					255	7	8	1	crn	xxx	1	0	
Crown	6	0	0	1	1	202	222	0	164	82	0	50	0	43	1	0	8345	38751	crn	crn		905	crn	crn	xrn						urn	0	2	2	1	3	1	flpcrn	invcrn									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255	1	1	1	1	20				1	1		1	1	1	20					255					255	2	8	1	xxx	xxx	1	0	
Mask	7	0	0	1	1	57	61	0	70	70	0	20	0	28	1	0	2857	12785	msk	msk		905	msk	msk	xsk						usk	0	2	2	1	3	1	flpmsk	invmsk									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255		1		1	1					255					255					255					255				1	1					255					255					255	1	2	1	xxx	xxx	1	0	
Quilted Armor	8	0	0	1	1	3	5	0	75	75	0	20	0	1	1	0	140	1518	qui	qui		905	qlt	qui	xui						uui	1	2	3	1	2	1	flpqlt	invqlt			0	0	0	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	1	lea	gth	1	0	
Leather Armor	9	0	0	1	1	13	15	0	90	90	0	24	0	4	1	0	481	2180	lea	lea		905	lea	lea	xea						uea	1	2	3	1	2	1	flplea	invlea			0	0	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	10		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	7	8	1	hla	ful	1	0	
Hard Leather Armor	10	0	0	1	1	23	25	0	90	90	0	28	0	7	1	0	1060	3163	hla	hla		905	hla	hla	xla						ula	1	2	3	1	2	1	flphla	invhla			1	1	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	15		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	7	8	1	stu	aar	1	0	
