Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	256
2	1500	1500	1500	1500	1500	1500	1500	256
3	3750	3750	3750	3750	3750	3750	3750	256
4	7875	7875	7875	7875	7875	7875	7875	256
5	14175	14175	14175	14175	14175	14175	14175	256
6	22680	22680	22680	22680	22680	22680	22680	256
7	32886	32886	32886	32886	32886	32886	32886	256
8	44396	44396	44396	44396	44396	44396	44396	256
9	57715	57715	57715	57715	57715	57715	57715	256
10	72144	72144	72144	72144	72144	72144	72144	256
11	90180	90180	90180	90180	90180	90180	90180	256
12	112725	112725	112725	112725	112725	112725	112725	256
13	140906	140906	140906	140906	140906	140906	140906	256
14	176132	176132	176132	176132	176132	176132	176132	256
15	220165	220165	220165	220165	220165	220165	220165	256
16	275207	275207	275207	275207	275207	275207	275207	256
17	344008	344008	344008	344008	344008	344008	344008	256
18	430010	430010	430010	430010	430010	430010	430010	256
19	537513	537513	537513	537513	537513	537513	537513	256
20	671891	671891	671891	671891	671891	671891	671891	256
21	839864	839864	839864	839864	839864	839864	839864	256
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	256
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	256
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	256
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	256
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	256
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	256
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	256
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	256
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	256
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	256
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	256
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	256
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	256
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	256
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	256
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	256
