name	letter	transform	code	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	prop-spearsynergy		10	10	att		75	75	dmg%		39	39	prop-dmgtounholy		10	10	ac		75	75	hp		30	30	prop-dmgtototem		10	10	ac		75	75	hp		60	60
Flawed Amethyst		18	gfv	prop-spearsynergy		15	15	att		125	125	dmg%		52	52	prop-dmgtounholy		15	15	ac		125	125	hp		40	40	prop-dmgtototem		15	15	ac		125	125	hp		80	80
Amethyst		18	gsv	prop-spearsynergy		20	20	att		175	175	dmg%		65	65	prop-dmgtounholy		20	20	ac		175	175	hp		50	50	prop-dmgtototem		20	20	ac		175	175	hp		100	100
Flawless Amethyst		18	gzv	prop-spearsynergy		25	25	att		225	225	dmg%		78	78	prop-dmgtounholy		25	25	ac		225	225	hp		60	60	prop-dmgtototem		25	25	ac		225	225	hp		120	120
Perfect Amethyst		17	gpv	prop-spearsynergy		30	30	att		275	275	dmg%		91	91	prop-dmgtounholy		30	30	ac		275	275	hp		70	70	prop-dmgtototem		30	30	ac		275	275	hp		140	140
Chipped Sapphire		5	gcb	prop-dmgtofragment		10	10	att		75	75	dmg%		39	39	prop-dmgtotrap		10	10	ac		75	75	hp		30	30	extra-cold		5	5	ac		75	75	hp		60	60
Flawed Sapphire		5	gfb	prop-dmgtofragment		15	15	att		125	125	dmg%		52	52	prop-dmgtotrap		15	15	ac		125	125	hp		40	40	extra-cold		8	8	ac		125	125	hp		80	80
Sapphire		5	gsb	prop-dmgtofragment		20	20	att		175	175	dmg%		65	65	prop-dmgtotrap		20	20	ac		175	175	hp		50	50	extra-cold		10	10	ac		175	175	hp		100	100
Flawless Sapphire		5	glb	prop-dmgtofragment		25	25	att		225	225	dmg%		78	78	prop-dmgtotrap		25	25	ac		225	225	hp		60	60	extra-cold		13	13	ac		225	225	hp		120	120
Perfect Sapphire		6	gpb	prop-dmgtofragment		30	30	att		275	275	dmg%		91	91	prop-dmgtotrap		30	30	ac		275	275	hp		70	70	extra-cold		15	15	ac		275	275	hp		140	140
Chipped Emerald		11	gcg	prop-dmgtohoming		10	10	att		75	75	dmg%		39	39	prop-dmgtomeleeexplosion		10	10	ac		75	75	hp		30	30	extra-pois		5	5	ac		75	75	hp		60	60
Flawed Emerald		11	gfg	prop-dmgtohoming		15	15	att		125	125	dmg%		52	52	prop-dmgtomeleeexplosion		15	15	ac		125	125	hp		40	40	extra-pois		8	8	ac		125	125	hp		80	80
Emerald		11	gsg	prop-dmgtohoming		20	20	att		175	175	dmg%		65	65	prop-dmgtomeleeexplosion		20	20	ac		175	175	hp		50	50	extra-pois		10	10	ac		175	175	hp		100	100
Flawless Emerald		11	glg	prop-dmgtohoming		25	25	att		225	225	dmg%		78	78	prop-dmgtomeleeexplosion		25	25	ac		225	225	hp		60	60	extra-pois		13	13	ac		225	225	hp		120	120
Perfect Emerald		12	gpg	prop-dmgtohoming		30	30	att		275	275	dmg%		91	91	prop-dmgtomeleeexplosion		30	30	ac		275	275	hp		70	70	extra-pois		15	15	ac		275	275	hp		140	140
Chipped Ruby		8	gcr	prop-dmgbombardment		10	10	att		75	75	dmg%		39	39	prop-dmgtoholy		10	10	ac		75	75	hp		30	30	extra-fire		5	5	ac		75	75	hp		60	60
Flawed Ruby		8	gfr	prop-dmgbombardment		15	15	att		125	125	dmg%		52	52	prop-dmgtoholy		15	15	ac		125	125	hp		40	40	extra-fire		8	8	ac		125	125	hp		80	80
Ruby		8	gsr	prop-dmgbombardment		20	20	att		175	175	dmg%		65	65	prop-dmgtoholy		20	20	ac		175	175	hp		50	50	extra-fire		10	10	ac		175	175	hp		100	100
