Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	450	80	150	120	300	1	250	1	120	120	16	48	10	0	13	0	13	0	10	0	10	strhirespecial1	75	Flaming Arrow	4	10	0	1	20	Frost Arrow	4	25	8	1	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	2210	130	1470	240	300	1	250	1	2760	240	112	144	20	53	10	69	10	69	9	69	9	strhirespecial1	75	Flaming Arrow	4	10	0	8	20	Frost Arrow	4	69	0	8	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	5330	250	4350	360	300	1	250	1	8520	360	304	336	30	103	8	134	8	134	7	134	7	strhirespecial1	75	Flaming Arrow	4	10	0	16	20	Frost Arrow	4	69	0	16	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	450	80	150	120	300	1	250	1	120	120	16	48	10	0	13	0	13	0	10	0	10	strhirespecial2	75	Flaming Arrow	4	10	0	1	20	Frost Arrow	4	25	2	1	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	2210	120	1470	240	300	1	250	1	2760	240	112	144	20	53	10	69	10	69	9	69	9	strhirespecial2	75	Flaming Arrow	4	10	0	8	20	Frost Arrow	4	36	0	8	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	5090	160	4350	360	300	1	250	1	8520	360	304	336	30	103	8	134	8	134	7	134	7	strhirespecial2	75	Flaming Arrow	4	10	0	16	20	Frost Arrow	4	36	0	16	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	1990	120	1320	240	300	1	250	1	2484	240	96	128	20	49	10	64	10	64	9	64	9	strhirespecial1	75	Flaming Arrow	4	10	0	7	20	Frost Arrow	4	69	0	7	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	4870	160	4200	360	300	1	250	1	8244	360	288	320	30	100	8	130	8	130	7	130	7	strhirespecial1	75	Flaming Arrow	4	10	0	15	20	Frost Arrow	4	69	0	15	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	1990	120	1320	240	300	1	250	1	2484	240	96	128	20	49	10	64	10	64	9	64	9	strhirespecial2	75	Flaming Arrow	4	10	0	7	20	Frost Arrow	4	69	0	7	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	4870	160	4200	360	300	1	250	1	8244	360	288	320	30	100	8	130	8	130	7	130	7	strhirespecial2	75	Flaming Arrow	4	10	0	15	20	Frost Arrow	4	69	0	15	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
