Name	version	*order	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
		1																																				0	0
Sturdy	100	2	1	1	1		1				5	101	res-all		2	5	enr		2	4						scha	mcha	jewl										0	0
Strong	100	3	1	1	1		1				5	101	move2		3	5	dex		2	4						scha	mcha	jewl										0	0
Blessed	100	4	1	1	1		1				5	101	block1		2	2	str		2	4						scha	mcha	jewl										0	0
Blessed	100	5	1	1	1		1				5	101	dmg-mag		10	60	dmg-max		5	6						weap	glov	ring	amul	misl	belt	lcha						0	0
Saintly	100	6	1	1	1		1				5	101	dmg-ltng		10	60										weap	glov	ring	amul	misl	belt	lcha						0	0
Holy	100	7	1	1	1		1				5	101	hp		15	24	mana		10	12						scha	mcha	jewl										0	0
Devious	100	8	1	1	1		1				5	103	dmg-cold		10	60										weap	glov	ring	amul	misl	belt	lcha						0	0
Fortified	100	9	1	1	1		1				5	103	res-all		2	5	enr		2	4						scha	mcha	jewl										0	0
		10																																				0	0
		11																																				0	0
		12																																				0	0
Jagged	100	13	1	1	1		1				5	106	move2		3	5	dex		2	4						scha	mcha	jewl										0	0
Deadly	100	14	1	1	1		1				5	106	block1		2	2	str		2	4						scha	mcha	jewl										0	0
Vicious	100	15	1	1	1		1				5	106	all-stats		3	4	dmg-max		5	6						weap	glov	ring	amul	misl	belt	lcha						0	0
Brutal	100	16	1	1	1		1				5	106	dmg-fire		10	60										weap	glov	ring	amul	misl	belt	lcha						0	0
Massive	100	17	1	1	1		1				5	106	dmg-min		8	10	dmg-max		11	11						weap	glov	ring	amul	misl	belt	lcha						0	0
Savage	100	18	1	1	1		1				5	106	dmg%		50	72										weap	glov	ring	amul	misl	belt	lcha						0	0
Merciless	100	19	1	1	1		1				5	106	dex		7	9	dmg-max		5	6						weap	glov	ring	amul	misl	belt	lcha						0	0
Vulpine	100	20	1	1	1		1				5	109	vit		7	9	dmg-max		5	6						weap	glov	ring	amul	misl	belt	lcha						0	0
		21																																				0	0
		22																																				0	0
		23																																				0	0
		24																																				0	0
Tireless	100	25	1	1	1		1				5	109	regen		100	180										weap	glov	ring	amul	misl	belt	lcha						0	0
Rugged	100	26	1	1	7		6				5	110	lifesteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
Bronze	100	27	1	1	1		1				5	111	hp		5	10										weap	glov	ring	amul	misl	belt	lcha						0	0
Iron	100	28	1	1	7		6				5	111	regen-mana		6	10										weap	glov	ring	amul	misl	belt	lcha						0	0
Steel	100	29	1	1	1		6				5	111	att		50	96										weap	glov	ring	amul	misl	belt	lcha						0	0
Silver	100	30	1	1	1		1				5	111	prop-dmgtounholy		10	14										weap	glov	ring	amul	misl	belt	lcha						0	0
		31																																				0	0
Gold	100	32	1	1	6		6				5	111	att%		10	24										weap	glov	ring	amul	misl	belt	lcha						0	0
Platinum	100	33	1	1	6		6				5	111	mana-kill		5	12										weap	glov	ring	amul	misl	belt	lcha						0	0
Meteoric	100	34	1	1	6		6				5	111	heal-kill		8	18										weap	glov	ring	amul	misl	belt	lcha						0	0
Sharp	100	35	1	1	7		6				5	112	hp		15	24	mana		10	12						scha	mcha	jewl				jewl						0	0
Fine	100	36	1	1	6		6				5	112	prop-dmgtounholy		10	14										weap	glov	ring	amul	misl	belt	lcha						0	0
Warrior's	100	37	1	1	7		6				5	112	mag%		5	7	gold%		3	4						scha	mcha	jewl				jewl						0	0
Soldier's	100	38	1	1	7		6				5	112	res-all		2	5	enr		2	4						scha	mcha	jewl				jewl						0	0
Knight's	100	39	1	1	6		6				5	112	mana		5	10										weap	glov	ring	amul	misl	belt	lcha						0	0
Lord's	100	40	1	1	6		6				5	112	hp		5	10										weap	glov	ring	amul	misl	belt	lcha						0	0
King's	100	41	1	1	7		6				5	112	block1		2	2	str		2	4						scha	mcha	jewl				jewl						0	0
Howling	100	42	1	1	1		1				5	113	str		5	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Fortuitous	100	43	1	1	7		6				5	114	all-stats		3	4										weap	glov	ring	amul	misl	belt	lcha						0	0
		44																																				0	0
		45																																				0	0
		46																																				0	0
		47																																				0	0
		48																																				0	0
Glimmering	100	49	1	1	1		1				5	116	red-dmg%		1	1										armo	shld	amul	ring	lcha	jewl							0	0
Glowing	100	50	1	1	9		6				5	116	res-cold		9	16										armo	shld	amul	ring	lcha	jewl	jewl						0	0
		51																																				0	0
		52																																				0	0
Lizard's	0	53	1	1	4		6				5	118	enr		5	11										weap	glov	ring	amul	misl	belt	lcha						0	0
		54																																				0	0
Snake's	100	55	1	1	9		6				5	118	extra-cold		2	4	dmg-cold		10	20						scha	mcha	jewl				jewl						0	0
Serpent's	100	56	1	1	21		6				5	118	res-pois-len		5	10	hp		60	100					dgld	ring	amul											0	0
Serpent's	100	57	1	1	55		25				5	118	oskill	Mind Blast	1	2	all-stats		4	4																		0	0
Drake's	100	58	1	1	50		18				5	118	res-mag		3	6										armo	ring	amul	glov	lcha								0	0
Dragon's	100	59	1	1	36		6				5	118	ac%		14	19										armo	shld	amul	ring	lcha	jewl							0	0
Dragon's	100	60	1	1	70		60				5	118	hp		150	200									cblu	weap	ring	amul	glov									0	0
Wyrm's	100	61	1	1	45		18				5	118	res-mag		2	4										mcha	boot	ring	amul	tors								0	0
		62																																				0	0
		63																																				0	0
Prismatic	100	64	1	1	15		6				5	120	cast1		9	16										weap	glov	ring	amul	misl	belt	lcha						0	0
Prismatic	100	65	1	1	70		60				5	120	str%		2	3										mcha	jewl	misl										0	0
Azure	100	66	1	1	70		60				5	121	res-fire		10	15										mcha	jewl	misl										0	0
Lapis	100	67	1	1	18		6				5	121	extra-fire		3	5	dmg-fire		13	26						scha	mcha	jewl				jewl						0	0
Lapis	100	68	1	1	52		25				5	121	mag%		7	10										mcha												0	0
Cobalt	100	69	1		27		6				5	121	res-cold		21	36										armo	shld	amul	ring	lcha	jewl							0	0
Cobalt	100	70	1	1	70		60				5	121	dmg-max		25	30										mcha	jewl	misl										0	0
		71																																				0	0
Sapphire	100	72	1	1	37		6				5	121	vit		12	25										weap	glov	ring	amul	misl	belt	lcha						0	0
		73																																				0	0
		74																																				0	0
Crimson	100	75	1	1	7		6				5	122	mag%		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
Burgundy	100	76	1	1	18		6				5	122	extra-ltng		3	5	dmg-ltng		13	26						scha	mcha	jewl				jewl						0	0
Burgundy	100	77	1	1	1		1				5	122	res-mag		2	4										armo	shld	amul	ring	lcha	jewl							0	0
Garnet	100	78	1		27		6				5	122	res-fire		21	36										armo	shld	amul	ring	lcha	jewl							0	0
Garnet	100	79	1	1	70		60				5	122	dmg-min		50	60										weap	ring	amul	glov									0	0
		80																																				0	0
Ruby	100	81	1	1	37		6				5	122	dmg-mag		23	138										weap	glov	ring	amul	misl	belt	lcha						0	0
		82																																				0	0
		83																																				0	0
Ocher	100	84	1	1	7		6				5	123	manasteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
Tangerine	100	85	1	1	18		6				5	123	regen-mana		8	12										scha	mcha	jewl				jewl						0	0
Tangerine	100	86	1	1	52		25				5	123	cast2		4	5									dgld	mcha												0	0
Coral	100	87	1		27		6				5	123	regen		225	406										armo	shld	amul	ring	lcha	jewl	misl						0	0
