Name	*order	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Health	1	100	1	1	10		3				8	1	enr		7	12										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Protection	2	100	1	1	10		3				8	1	ac%		8	9										armo	shld	amul	ring	lcha	jewl							0	0
of Absorption	3	100	1	1	39		9				8	1	att		100	160										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Life	4	100	1	1	52		12				8	1	mana-kill		13	26										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
	5	100																								bowq	xboq	weap	armo	ring	amul							0	0
of Warding	6	100	1	1	10		3				8	2	res-pois-len		6	8										armo	shld	amul	ring	lcha	jewl							0	0
of the Sentinel	7	100	1	1	27		6				8	2	red-dmg		8	14										armo	shld	amul	ring	lcha	jewl							0	0
of Guarding	8	100	1	1	39		9				8	2	ac		76	95	red-dmg		10	19						mcha												0	0
of Negation	9	100	1	1	60		13				8	2	regen		280	420										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
	10	100																								bowq	xboq	weap	armo	ring	amul							0	0
of Piercing	11	100	1	1	37		8				8	3	res-ltng		17	25										armo	shld	amul	ring	lcha	jewl							0	0
of Bashing	12	100	1	1	24		6				8	4	swing1		11	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Puncturing	13	100	1	1	1		1				8	4	res-ltng		9	13										armo	shld	amul	ring	lcha	jewl							0	0
of Thorns	14	100	1	1	21		4				8	5	block1		3	3	str		3	6						scha	mcha											0	0
of Spikes	15	100	1	1	31		7				8	5	all-stats		5	5										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Readiness	16	100	1	1	1		1				8	6	prop-dmgtoholy		10	12										weap	glov	ring	amul	misl	belt	lcha						0	0
of Alacrity	17	100	1	1	12		3				8	6	cast1		9	13										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Swiftness	18	100	1	1	28		6				8	6	att		150	165	swing2		8	9						mcha												0	0
of Quickness	19	100	1	1	37		8				8	6	regen		190	285										armo	shld	amul	ring	lcha	jewl							0	0
of Blocking	20	100	1	1	1		1				8	7	dex		5	9										weap	glov	ring	amul	misl	belt	lcha						0	0
of Deflecting	21	100	1	1	16		3				8	7	extra-cold		3	4	dmg-cold		13	26						scha	mcha											0	0
of the Apprentice	22	100	1	1	7		1				8	8	prop-dmgtounholy		11	13										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Magus	23	100	1	1	25		6				8	8	att%		15	30										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Frost	24	100	1	1	1		1				8	9	att		100	110	swing2		5	6						mcha	jewl											0	0
of the Glacier	25	100	1	1	27		6				8	9	res-mag		3	5										armo	shld	amul	ring	lcha	jewl							0	0
of Frost	26	100	1	1	70		15				8	9	prop-dmgtoearth		50	75										weap	glov	ring	amul									0	0
of Warmth	27	100	1	1	15		3				8	10	mag%		7	8	gold%		4	5						scha	mcha											0	0
of Flame	28	100	1	1	6		1				8	11	str		6	10										weap	glov	ring	amul	misl	belt	lcha						0	0
of Fire	29	100	1	1	22		5				8	11	move1		6	7										armo	shld	amul	ring	lcha	jewl							0	0
of Burning	30	100	1	1	37		9				8	11	red-dmg		10	17										armo	shld	amul	ring	lcha	jewl							0	0
of Flame	31	100	1	1	65		13				8	11	res-cold		25	36										armo	shld	amul	ring	lcha	jewl							0	0
of Shock	32	100	1	1	6		1				8	12	dmg%		55	66										weap	glov	ring	amul	misl	belt	lcha						0	0
of Lightning	33	100	1	1	22		5				8	12	res-pois-len		7	10										armo	shld	amul	ring	lcha	jewl							0	0
of Thunder	34	100	1	1	37		8				8	12	res-mag		4	6										armo	shld	amul	ring	lcha	jewl							0	0
of Shock	35	100	1	1	70		15				8	12	extra-cold		25	30										weap	glov	ring	amul									0	0
of Craftsmanship	36	100	1	1	1		1				8	13	cast1		7	10										weap	glov	ring	amul	misl	belt	lcha						0	0
of Quality	37	100	1	1	6		1				8	13	vit		6	10										weap	glov	ring	amul	misl	belt	lcha						0	0
of Maiming	38	100	1	1	10		3				8	13	str		7	12										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Slaying	39	100	1	1	16		3				8	13	regen		130	195										armo	shld	amul	ring	lcha	jewl							0	0
of Gore	40	100	1	1	21		5				8	13	regen		140	210										armo	shld	amul	ring	lcha	jewl							0	0
of Carnage	41	100	1	1	28		6				8	13	att		85	136										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Slaughter	42	100	1	1	37		8				8	13	res-pois		17	25										armo	shld	amul	ring	lcha	jewl							0	0
of Maiming	43	100	1	1	63		13				8	13	res-all		6	11	enr		6	11						scha	mcha											0	0
of Worth	44	100	1	1	1		1				8	14	hp		5	8										weap	glov	ring	amul	misl	belt	lcha						0	0
of Measure	45	100	1	1	9		3				8	14	extra-ltng		2	3	dmg-ltng		11	22						scha	mcha	jewl										0	0
of Excellence	46	100	1	1	18		4				8	14	att		70	112										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Performance	47	100	1	1	27		6				8	14	balance1		6	9										armo	shld	amul	ring	lcha	jewl							0	0
of Measure	48	100	1	1	55		13				8	14	hp		130	156	move2		16	18						mcha												0	0
of Blight	49	100	1	1	7		1				8	15	hp		6	9										weap	glov	ring	amul	misl	belt	lcha						0	0
of Venom	50	100	1	1	22		5				8	15	hp		70	84	move2		8	10						mcha												0	0
of Pestilence	51	100	1	1	37		9				8	15	res-cold		17	25										armo	shld	amul	ring	lcha	jewl							0	0
of Blight	52	100	1	1	67		13				8	15	balance1		11	17										armo	shld	amul	ring	lcha	jewl							0	0
of Dexterity	53	100	1	1	6		1				8	16	dmg-mag		11	55										weap	glov	ring	amul	misl	belt	lcha						0	0
of Dexterity	54	100	1	1	7		1				8	16	regen-mana		7	9										weap	glov	ring	amul	misl	belt	lcha						0	0
of Skill	55	100	1	1	15		3				8	16	light		7	8										scha	mcha											0	0
of Skill	56	100	1	1	67		13				8	16	mana		140	168	regen-mana		11	17						mcha												0	0
of Accuracy	57	100	1	1	27		6				8	16	res-pois		14	20										armo	shld	amul	ring	lcha	jewl							0	0
of Precision	58	100	1	1	33		7				8	16	res-all		3	7	enr		3	7						scha	mcha											0	0
of Precision	59	100	1	1	70		15				8	16	extra-ltng		7	11	dmg-ltng		35	70						scha	mcha											0	0
of Perfection	60	100	1	1	45		11				8	16	regen-mana		12	16										scha	mcha											0	0
of Balance	61	100	1	1	7		1				8	17	reduce-ac		4	7										weap	glov	ring	amul	misl	belt	lcha						0	0
of Stability	62	100	1	1	13		3				8	17	regen-mana		8	10										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
	63	100																								armo	rod	miss	ring	amul	weap	lcha						0	0
of Regeneration	64	100	1	1	15		3				8	19	all-stats		4	4										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Regeneration	65	100	1	1	60		13				8	19	prop-dmgtounholy		28	34										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Regeneration	66	100	1	1	70		15				8	19	regen-mana		21	28										scha	mcha											0	0
of Regrowth	67	100	1	1	25		6				8	19	mana		8	12										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Regrowth	68	100	1	1	70		15				8	19	move2		11	14	dex		7	14						scha	mcha											0	0
of Vileness	69	100	1	1	13		3				8	20	gold%		9	12										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
	70	100																								armo	rod	miss	ring	amul	weap	lcha						0	0
of Greed	71	100	1	1	1		1				8	22	ac		30	40										armo	shld	amul	ring	lcha	jewl							0	0
of Wealth	72	100	1	1	25		6				8	22	mana-kill		8	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Chance	73	100	1	1	18		4				8	23	ac%		9	10										armo	shld	amul	ring	lcha	jewl							0	0
of Fortune	74	100	1	1	24		6				8	23	str		8	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Energy	75	100	1	1	1		1				8	24	att		55	88										weap	glov	ring	amul	misl	belt	lcha						0	0
of Energy	76	100	1	1	7		1				8	24	gold%		8	10										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Mind	77	100	1	1	15		3				8	24	res-all		3	5	enr		3	5						scha	mcha											0	0
of Brilliance	78	100	1	1	27		6				8	24	red-dmg%		1	3										armo	shld	amul	ring	lcha	jewl							0	0
of Sorcery	79	100	1	1	33		7				8	24	move2		5	7	dex		3	7						scha	mcha											0	0
of Wizardry	80	100	1	1	45		11				8	24	move2		6	8	dex		4	8						scha	mcha											0	0
of the Bear	81	100	1	1	12		3				8	25	mana		7	10										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Light	82	100	1	1	9		3				8	26	manasteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
of Radiance	83	100	1	1	22		5				8	26	ac%		10	11										armo	shld	amul	ring	lcha	jewl							0	0
of the Sun	84	100	1	1	25		6				8	26	heal-kill		12	23										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
