Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	65	772	1095	87	1206	1289	72	1222	1629	120	1222	1629	780	1806	10272	210	2408	16605	1	6	11	60	68	60	3	33	124	152	395	593
2	133	854	1208	177	1341	1416	216	1424	1916	180	1424	1916	780	1907	10544	270	2543	17040	3	9	15	90	90	90	5	44	165	202	527	790
3	200	938	1319	267	1476	1550	324	1629	2202	270	1629	2202	780	2025	10828	360	2700	17505	5	9	15	90	90	90	6	55	208	253	664	998
4	268	1023	1431	357	1609	1685	468	1832	2489	390	1832	2489	780	2110	11100	450	2813	17940	12	11	17	120	113	105	7	66	248	304	790	1186
5	335	1116	1542	447	1744	1811	634	2036	2777	528	2036	2777	780	2228	11385	510	2970	18405	12	11	17	120	113	105	8	77	288	354	922	1384
6	401	1199	1655	534	1877	1946	814	2239	3063	678	2239	3063	780	2346	11658	600	3128	18840	16	14	21	150	158	135	9	88	328	405	1049	1576
7	468	1283	1758	624	2012	2072	1012	2444	3350	843	2444	3350	1560	2447	11942	690	3263	19305	16	14	21	150	158	135	10	99	371	456	1186	1779
8	536	1367	1878	714	2147	2207	1213	2648	3636	1011	2648	3636	1560	2565	12214	810	3420	19740	20	15	27	180	180	165	11	110	413	507	1318	1977
9	603	1451	1989	804	2279	2340	1411	2851	3923	1176	2851	3923	1560	2650	12499	930	3533	20205	25	17	32	210	203	195	12	120	453	557	1444	2169
10	671	1543	2094	894	2414	2468	1609	3056	4209	1341	3056	4209	1560	2768	12771	1050	3690	20640	25	17	32	210	203	195	13	132	494	608	1581	2372
11	738	1627	2214	984	2549	2601	1811	3258	4496	1509	3258	4496	1560	2886	13056	1080	3848	21105	29	21	36	240	248	225	14	143	536	659	1713	2570
12	803	1710	2318	1071	2682	2729	2009	3463	4784	1674	3463	4784	1560	2987	13328	1200	3983	21540	29	21	36	240	248	225	15	153	576	709	1840	2763
13	871	1795	2430	1161	2817	2862	2207	3665	5070	1839	3665	5070	1560	3105	13613	1320	4140	22005	34	23	41	270	270	255	17	170	636	780	2033	3052
14	938	1879	2549	1251	2952	2996	2405	3870	5357	2004	3870	5357	1560	3190	13885	1440	4253	22440	38	24	45	300	293	285	18	186	698	856	2230	3346
15	1006	1970	2654	1341	3085	3123	2606	4073	5643	2172	4073	5643	3000	3308	14169	1560	4410	22905	38	24	45	300	293	285	20	204	764	943	2443	3665
16	1073	2054	2765	1431	3220	3257	2804	4277	5930	2337	4277	5930	3000	3426	14442	1680	4568	23340	41	29	47	330	338	300	22	225	845	1039	2702	4056
17	1139	2139	2877	1518	3355	3384	3002	4480	6216	2502	4480	6216	3000	3527	14727	1800	4703	23805	41	29	47	330	338	300	24	247	926	1140	2960	4441
18	1206	2223	2988	1608	3488	3518	3204	4685	6503	2670	4685	6503	3000	3645	14999	1920	4860	24240	46	30	51	360	360	330	27	272	1021	1257	3265	4897
19	1274	2306	3108	1698	3623	3653	3402	4887	6791	2835	4887	6791	3000	3730	15283	2040	4973	24705	50	32	57	390	383	360	29	299	1122	1384	3589	5384
20	1341	2399	3213	1788	3755	3779	3600	5092	7077	3000	5092	7077	3000	3848	15555	2190	5130	25140	50	32	57	390	383	360	32	329	1235	1521	3949	5926
21	1409	2483	3324	1878	3890	3914	3802	5297	7364	3168	5297	7364	3000	3983	15840	2340	5310	25605	55	36	62	420	428	390	35	362	1358	1673	4344	6520
22	1476	2565	3437	1968	4025	4040	4000	5499	7650	3333	5499	7650	3000	4101	16113	2520	5468	26040	55	36	62	420	428	390	39	398	1493	1840	4775	7163
23	1541	2650	3548	2055	4158	4175	4198	5704	7937	3498	5704	7937	3000	4185	16397	2670	5580	26505	64	38	66	450	450	420	42	437	1641	2022	5247	7873
