Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1	lvl1hadokenondeath	skeleton	Skeleton		SK	1													1	3		3	3	100	2	37	68	skeleton	skeleton	10	15	14	13				60	65	70	15	12	10	75	80	85	75	75	75																						1	1					1				1			1	1							1					SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						50						75	30	20	30	30	30	34	2				10	10	10	5	172	258	168	172	58	78	202	58	78	202				140	200	200	170	80	88	132	80	88	125				140	200	100	85	40	44	120	40	44	125																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2	fasterattackwalkres	skeleton	Skeleton		SK	1													2	3		4	4	100	6	38	69	skeleton	skeleton	10	15	14	13				70	75	80	12	10	7	80	85	90	25	25	25																						1	1					1				1			1	1							1					SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						50						75	26	35	40	30	50	28	2				15	15	15	5	174	254	168	172	72	92	186	72	92	186				140	200	200	170	80	88	132	80	88	125				140	200	100	85	40	44	120	40	44	125																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3	lvl3poisonvialonhit	skeleton	Skeleton		SK	1													2	4		4	4	100	7	39	85	skeleton	skeleton	10	15	14	13				80	85	90	9	8	7	85	90	95	50	50	50																						1	1					1				1			1	1							1					SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25					40	50					60	75	10	100	60	25	60	33	2				15	15	15	5	178	248	168	170	72	92	188	72	92	188				140	200	200	170	80	88	132	80	88	125				140	200	100	85	40	44	120	40	44	125																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4	lvl1waveofforceondeath	skeleton	Skeleton		SK	1													2	4		5	5	100	13	43	74	skeleton	skeleton	10	15	14	13				90	95	95	7	6	5	90	95	99	66	66	66																						1	1					1				1			1	1							1					SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25			50			50			75			75	36	30	40	52	40	38	2				15	15	15	5	186	266	168	170	80	100	186	80	100	186				140	200	200	170	80	88	132	80	88	125				140	200	100	85	40	44	110	40	44	125				A1	fire	50	22	55		50	25	55		50	25	55																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5	morefiredamage	skeleton	Skeleton		SK	1													2	4		5	5	100	14	44	78	skeleton	skeleton	10	15	14	13				99	99	99	5	5	5	95	99	99	33	33	33																						1	1					1				1			1	1							1					SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25		20		60		50		40		80		75	33	20	30	30	30	34	2				15	15	15	5	188	262	168	170	72	92	188	72	92	188				140	200	200	170	80	88	132	80	88	125				140	200	100	85	40	44	120	40	44	115				A2	ltng	60	30	60		60	30	50		60	30	50																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1	morecolddamage	zombie	Zombie		ZM	1													1	2		1	3	100	1	36	67	zombie	zombieunique	10	15	14	13				30	40	50	10	15	20				20	25	30																						1	1					1							1	1							1																													100	75	50	-50	-40	-25						50						75	26	35	40	30	50	28	2				3	3	3	5	202	362	168	222	92	112	202	92	112	202				210	300	160	210	120	132	116	120	132	110				210	300	80	105	60	66	105	70	77	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2	moreltngdamage	zombie	Zombie		ZM	1													1	3		1	4	100	2	37	68	zombie	zombieunique	10	15	14	13				40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																													100	75	50	-50	-40	-25						50						75	10	23	100	25	60	33	2				4	4	4	5	202	372	168	222	58	78	202	58	78	202				210	300	160	210	120	132	116	120	132	110				210	300	80	105	60	66	105	70	77	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3	morepoisondamage	zombie	Zombie		ZM	1													2	3		1	4	100	12	43	73	zombie	zombieunique	10	15	14	13				50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																													100	75	50	-50	-40	-25						50						75	36	30	40	52	40	38	2				13	13	13	5	216	394	168	218	92	112	186	92	112	186				210	300	160	210	120	132	116	120	132	110				210	300	80	105	60	66	105	70	77	110																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4	lvl1evilspearitondeath	zombie	Zombie		ZM	1													2	4		1	5	100	22	50	80	zombie	zombieunique	10	15	14	13				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																													100	75	50	-50	-40	-25	20		50			50	50		75			75	33	20	30	30	30	34	2				15	15	15	5	214	384	170	218	92	112	188	92	112	188				210	300	160	210	120	132	116	120	132	110				210	300	80	105	55	61	105	70	77	110				A1	cold	75	21	42	25	75	20	40	50	75	20	40	50																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
zombie5	9	zombie1	zombie6	4	PlagueBearer	zombie5	lvl1holyspearitondeath	zombie	Zombie		ZM	1													3	4		1	5	100	25	46	77	zombie	zombieunique	10	15	14	13				60	70	80	25	30	30				40	45	50																						1	1					1							1	1							1																													100	75	50	-50	-40	-25		50				50		75				75	26	35	40	100	50	28	2				17	17	17	5	218	384	168	218	50	70	184	50	70	184				210	300	160	210	120	132	116	120	132	110				210	300	80	105	55	61	105	70	77	110				A1	pois	50	17	34	50	50	16	16	400	50	19	19	50																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
