code	*order	*class	*used	*legendary	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
ac	1				1	1	armorclass																											+# Defense		Min #	Max #		0
ac-miss	2				1	1	armorclass_vs_missile																											+# Defense vs. Missile		Min #	Max #		0
ac-hth	3				1	1	armorclass_vs_hth																											+# Defense vs. Melee		Min #	Max #		0
red-dmg	4				1	1	normal_damage_reduction																											Damage Reduced by #		Min #	Max #		0
red-dmg%	5				1	1	damageresist																											Damage Reduced by #%		Min %	Max %		0
ac%	6				1	2	item_armor_percent																											+#% Enhanced Defense		Min %	Max %		0
red-mag	7				1	1	magic_damage_reduction																											Magic Damage Reduced by #		Min #	Max #		0
str	8				1	1	strength																											+# to Strength		Min #	Max #		0
dex	9				1	1	dexterity																											+# to Dexterity		Min #	Max #		0
vit	10				1	1	vitality																											+# to Vitality		Min #	Max #		0
enr	11				1	1	energy																											+# to Energy		Min #	Max #		0
mana	12				1	1	maxmana																											+# to Mana		Min #	Max #		0
mana%	13				1	1	item_maxmana_percent																											Increase Maximum Mana #%		Min %	Max %		0
hp	14				1	1	maxhp																											+# to Life		Min #	Max #		0
hp%	15				1	1	item_maxhp_percent																											Increase Maximum Life #%		Min %	Max %		0
att	16				1	1	tohit																											+# to Attack Rating		Min #	Max #		0
block	17				1	1	toblock																											#% Increased Chance of Blocking		Min %	Max %		0
cold-min	18				1	1	coldmindam																											+# to Minimum Cold Damage		Min #	Max #		0
cold-max	19				1	1	coldmaxdam																											+# to Maximum Cold Damage		Min #	Max #		0
cold-len	20				1	1	coldlength																													Min #	Max #	# of Frames (25 Frames = 1 Second)	0
fire-min	21				1	1	firemindam																											+# to Minimum Fire Damage		Min #	Max #		0
fire-max	22				1	1	firemaxdam																											+# to Maximum Fire Damage		Min #	Max #		0
ltng-min	23				1	1	lightmindam																											+# to Minimum Lightning Damage		Min #	Max #		0
ltng-max	24				1	1	lightmaxdam																											+# to Maximum Lightning Damage		Min #	Max #		0
pois-min	25				1	1	poisonmindam																											+# to Minimum Poison Damage		Min #	Max #		0
pois-max	26				1	1	poisonmaxdam																											+# to Maximum Poison Damage		Min #	Max #		0
pois-len	27				1	1	poisonlength																													Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-min	28				1	5																												+# to Minimum Damage		Min #	Max #		0
dmg-max	29				1	6																												+# to Maximum Damage		Min #	Max #		0
dmg%	30				1	7																												+#% Enhanced Damage		Min %	Max %		0
dmg-to-mana	31				1	1	item_damagetomana																											#% Damage Taken Goes To Mana		Min %	Max %		0
res-fire	32				1	1	fireresist																											Fire Resist +#%		Min %	Max %		0
res-fire-max	33				1	1	maxfireresist																											+#% to Maximum Fire Resist		Min %	Max %		0
res-ltng	34				1	1	lightresist																											Lightning Resist +#%		Min %	Max %		0
res-ltng-max	35				1	1	maxlightresist																											+#% to Maximum Lightning Resist		Min %	Max %		0
res-cold	36				1	1	coldresist																											Cold Resist +#%		Min %	Max %		0
res-cold-max	37				1	1	maxcoldresist																											+#% to Maximum Cold Resist		Min %	Max %		0
res-mag	38				1	1	magicresist																											Magic Resist +#%		Min %	Max %		0
res-mag-max	39				1	1	maxmagicresist																											+#% to Maximum Magic Resist		Min %	Max %		0
res-pois	40				1	1	poisonresist																											Poison Resist +#%		Min %	Max %		0
res-pois-max	41				1	1	maxpoisonresist																											+#% to Maximum Poison Resist		Min %	Max %		0
res-all	42				1	1	fireresist			3	lightresist			3	coldresist			3	poisonresist															All Resistances +#		Min %	Max %		0
res-all-max	43				1	1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist																	Min %	Max %	Currently Not Used	0
abs-fire%	44				1	1	item_absorbfire_percent																											+# Fire Absorb		Min #	Max #		0
abs-fire	45				1	1	item_absorbfire																											Fire Absorb #%		Min %	Max %		0
abs-ltng%	46				1	1	item_absorblight_percent																											+# Lightning Absorb		Min #	Max #		0
abs-ltng	47				1	1	item_absorblight																											Lightning Absorb #%		Min %	Max %		0
abs-mag%	48				1	1	item_absorbmagic_percent																											+# Magic Absorb		Min #	Max #		0
abs-mag	49				1	1	item_absorbmagic																											Magic Absorb #%		Min %	Max %		0
abs-cold%	50				1	1	item_absorbcold_percent																											+# Cold Absorb		Min #	Max #		0
abs-cold	51				1	1	item_absorbcold																											Cold Absorb #%		Min %	Max %		0
dur	52				1	1	maxdurability																											Durability: # of #		Min #	Max #		0
dur%	53				1	13	item_maxdurability_percent																											Increase Maximum Durability #%		Min %	Max %		0
regen	54				1	1	hpregen																											Replenish Life +#		Min #	Max #		0
thorns	55				1	1	item_attackertakesdamage																											Attacker Takes Damage of #		Min #	Max #		0
swing1	56				1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %		0
swing2	57				1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %		0
swing3	58				1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %		0
gold%	59				1	1	item_goldbonus																											#% Extra Gold from Monsters		Min %	Max %		0
mag%	60				1	1	item_magicbonus																											#% Better Chance of Getting Magic Items		Min %	Max %		0
knock	61				1	1	item_knockback																											Knockback		1	1		0
regen-stam	62				1	1	staminarecoverybonus																											Heal Stamina Plus #%		Min %	Max %		0
regen-mana	63				1	1	manarecoverybonus																											Regenerate Mana #%		Min %	Max %		0
stam	64				1	1	maxstamina																											+# Maximum Stamina		Min #	Max #		0
time	65				1	1	item_timeduration																													Min #	Max #	Currently Not Used	0
manasteal	66				1	1	manadrainmindam																											#% Mana stolen per hit		Min #	Max #		0
lifesteal	67				1	1	lifedrainmindam																											#% Life stolen per hit		Min #	Max #		0
ama	68				1	21	item_addclassskills		0																									+# to Amazon Skill Levels		Min #	Max #		0
pal	69				1	21	item_addclassskills		3																									+# to Paladin Skill Levels		Min #	Max #		0
nec	70				1	21	item_addclassskills		2																									+# to Necromancer Skill Levels		Min #	Max #		0
sor	71				1	21	item_addclassskills		1																									+# to Sorceress Skill Levels		Min #	Max #		0
bar	72				1	21	item_addclassskills		4																									+#  to Barbarian Skill Levels		Min #	Max #		0
herb	73				1	1	item_doubleherbduration																													Min #	Max #	Currently Not Used	0
