name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4
Beast	0	armo	weap	misc	ring	amul	shld					
Eagle	0	armo	weap	misc	ring	amul	shld					
Raven	0	armo	weap	misc	ring	amul	shld					
Viper	0	armo	weap	misc	ring	amul	shld					
GhoulRI	0	armo	weap	misc	ring	amul	shld					
Skull	0	armo	weap	misc	ring	amul	shld					
Blood	0	armo	weap	misc	ring	amul	shld					
Dread	0	armo	weap	misc	ring	amul	shld					
Doom	0	armo	weap	misc	ring	amul	shld					
Grim	0	armo	weap	misc	ring	amul	shld					
Bone	0	armo	weap	misc	ring	amul	shld					
Death	0	armo	weap	misc	ring	amul	shld					
Shadow	0	armo	weap	misc	ring	amul	shld					
Storm	0	armo	weap	misc	ring	amul	shld					
Rune	0	armo	weap	misc	ring	amul	shld					
PlagueRI	0	armo	weap	misc	ring	amul	shld					
Stone	0	armo	weap	misc	ring	amul	shld					
Wraithra	0	armo	weap	misc	ring	amul	shld					
Spirit	0	armo	weap	misc	ring	amul	shld					
Storm	0	armo	weap	misc	ring	amul	shld					
Demon	0	armo	weap	misc	ring	amul	shld					
Cruel	0	armo	weap	misc	ring	amul	shld					
Empyrion	0	armo	weap	misc	ring	amul	shld					
Bramble	0	armo	weap	misc	ring	amul	shld					
Pain	0	armo	weap	misc	ring	amul	shld					
Loath	0	armo	weap	misc	ring	amul	shld					
Glyph	0	armo	weap	misc	ring	amul	shld					
Imp	0	armo	weap	misc	ring	amul	shld					
Fiendra	0	armo	weap	misc	ring	amul	shld					
Hailstone	0	armo	weap	misc	ring	amul	shld					
Gale	0	armo	weap	misc	ring	amul	shld					
Dire	0	armo	weap	misc	ring	amul	shld					
Soul	0	armo	weap	misc	ring	amul	shld					
Brimstone	0	armo	weap	misc	ring	amul	shld					
Corpse	0	armo	weap	misc	ring	amul	shld					
Carrion	0	armo	weap	misc	ring	amul	shld					
Holocaust	0	armo	weap	misc	ring	amul	shld					
Havoc	0	armo	weap	misc	ring	amul	shld					
Bitter	0	armo	weap	misc	ring	amul	shld					
Entropy	0	armo	weap	misc	ring	amul	shld					
Chaos	0	armo	weap	misc	ring	amul	shld					
Order	0	armo	weap	misc	ring	amul	shld					
Rule	0	armo	weap	misc	ring	amul	shld					
Warp	0	armo	weap	misc	ring	amul	shld					
Rift	0	armo	weap	misc	ring	amul	shld					
Corruption	0	armo	weap	misc	ring	amul	shld					
