Name	*Made Into Charm	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword1	1	Ancients' Pledge	1		109	tors									RalOrtTal	r08	r09	r07				allskills		1	1	hp%		10	10	move2		15	15																	0
Runeword2		Armageddon				tors																																												0
Runeword3		Authority				tors																																												0
Runeword4		Beast	1		110	tors									BerTirUmMalLum	r30	r03	r22	r23	r17		dru		5	5	prop-dmgtoearth		175	175	prop-dmgtowind		175	175	prop-dmgtototem		175	175													0
Runeword5		Beauty				tors																																												0
Runeword6		Black	1		109	tors									ThulIoNef	r10	r16	r04				oskill	Shadow Claw	3	3	aura_hidden	Black Aura	1	1																					0
Runeword7		Blood				tors																																												0
Runeword8		Bone	1		111	tors									SolUmUm	r12	r22	r22				aura_hidden	Bone Aura	1	1	att-skill	Bone Swarm	10	40																					0
Runeword9		Bramble	1		110	tors									RalOhmSurEth	r08	r27	r29	r05			aura_hidden	Bramble Aura	1	1																									0
Runeword10		Brand	1		Previously Ladder Only	tors									JahLoMalGul	r31	r28	r23	r25			oskill	Enchant	3	3	aura_hidden	Brand Aura	1	1																					0
Runeword11		Breath of the Dying			110	tors									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	enr		1	1																									0
Runeword12		Broken Promise				tors																																												0
Runeword13		Call to Arms	1		110	tors									AmnRalMalIstOhm	r11	r08	r23	r24	r27		oskill	Battle Orders	8	8	oskill	Arcane Warrior	28	28	oskill	Bloodborne	10	10																	0
Runeword14		Chains of Honor	1		110	tors									DolUmBerIst	r14	r22	r30	r24			aura	Crippling Wave	20	20	att-skill	Greater Life Tap	7	15	pal		5	5																	0
Runeword15		Chance				tors																																												0
Runeword16		Chaos	1		110	tors									FalOhmUm	r19	r27	r22				aura_hidden	Chaos Aura	1	1																									0
Runeword17		Crescent Moon	1		110	tors									ShaelUmTir	r13	r22	r03				oskill	Blade Mastery	20	20	pal		3	3	att-skill		Cross Slash		15	35															0
Runeword18		Darkness				tors																																												0
Runeword19		Daylight				tors																																												0
Runeword20		Death	1		Previously Ladder Only	tors									HelElVexOrtGul	r15	r01	r26	r09	r25		nec		5	5	prop-bloodskilldamage		175	175	prop-marksmanship		175	175																	0
Runeword21		Deception				tors																																												0
Runeword22		Delirium	1		110	tors									LemIstIo	r20	r24	r16				aura_hidden	Delerium Aura	1	1																									0
Runeword23		Desire				tors																																												0
Runeword24		Despair				tors																																												0
Runeword25		Destruction	1		Previously Ladder Only	tors									VexLoBerJahKo	r26	r28	r30	r31	r18		sor		6	6	prop-dmgtoallelements		130	130	att		1000	1000																	0
Runeword26		Doom	1		110	tors									HelOhmUmLoCham	r15	r27	r22	r28	r32		ass		5	5	prop-combopoints		5	5	att-skill	Greater Life Tap	3	20																	0
Runeword27		Dragon	1		Previously Ladder Only	tors									SurLoSol	r29	r28	r12				att-skill	Dragons Breath	20	45	prop-dmgtowind		100	100	dru		1	1																	0
Runeword28		Dread				tors																																												0
Runeword29		Dream	1		Previously Ladder Only	tors									IoJahPul	r16	r31	r21				att-skill	Herald Of Thunder	15	55	pierce-immunity-light		35	35	pierce-ltng		30	30	oskill	Electromagnetic	3	3	oskill	Storm Cloak	3	3	ltng-max		2500	2500					0
Runeword30		Duress	1		110	tors									ShaelUmThul	r13	r22	r10				att-skill	Fan Of Knives	15	45	gethit-skill	Fan Of Knives	15	45	nec		3	3	oskill	Knife Mastery	3	3													0
Runeword31	1	Edge	1		Previously Ladder Only	tors									TirTalAmn	r03	r07	r11				oskill	Magic Quiver	3	3	prop-dmgtomultishot		50	50	swing2		15	15	prop-arrowpower		5	5													0
Runeword32		Elation				tors																																												0
Runeword33		Enigma	1		110	tors									JahIthBer	r31	r06	r30				prop-hpregen%		30	30	prop-dmgtoallelements		60	60	prop-teleportcdr		1	1	att-skill	Greater Life Tap	5	20	ac		1200	1200									0
Runeword34		Enlightenment	1		111	tors									PulRalSur	r21	r08	r12				aura_hidden	Enlightenment Aura	1	1	att-skill	Vicious Shotgun Bolts	25	40	oskill	Shotgun Bolts	3	3																	0
Runeword35		Envy				tors																																												0
Runeword36		Eternity	1		110	tors									AmnBerIstSolSur	r11	r30	r24	r12	r29		ama		3	3	prop-dmgtofragment		225	225	prop-dmgtomultishot		225	225																	0
Runeword37		Exile	1		110	tors									VexOhmIstDol	r26	r27	r24	r14			aura_hidden	Exile Aura	1	1																									0
Runeword38		Faith	1		"110, Previously Ladder Only"	tors									OhmJahLemEld	r27	r31	r20	r02			aura_hidden	Faith Aura	1	1	hit-skill	Heavens Spread	23	50																					0
Runeword39		Famine	1			tors									FalOhmOrtJah	r19	r27	r09	r31			aura_hidden	Famine Aura	1	1	res-pois-max		5	5																					0
Runeword40		Flickering Flame	1		D2R Ladder 1	tors									NefPulVex	r04	r21	r26				extra-fire		80	80	oskill	Flame Torrent	3	3	sor		3	3	oskill	Righteous Fire	40	40	res-fire-max		3	3									0
Runeword41		Fortitude	1		Previously Ladder Only	tors									ElSolDolLo	r01	r12	r14	r28			aura_hidden	Fortitude Aura	1	1	ac%		100	100	att%		100	100																	0
Runeword42		Fortune				tors																																												0
Runeword43		Amity				tors																																												0
Runeword44		Fury	1		109	tors									JahGulEth	r31	r25	r05				dru		4	4	oskill	Guardian Of Earth	35	35	prop-dmgtoearth		110	110	ac		700	700	bar		4	4	oskill	Arcane Warrior	35	35					0
Runeword45		Gloom	1		110	tors									FalUmPul	r19	r22	r21				pal		3	3	oskill	Arcane Warrior	10	10	gethit-skill	Mind Blast	10	25	hp%		10	10	res-all-max		2	2	att		1000	1000					0
Runeword46		Glory				tors																																												0
Runeword47		Grief	1		Previously Ladder Only	tors									EthTirLoMalRal	r05	r03	r28	r23	r08		bar		3	3	prop-dmgtofragment		225	225	prop-dmgtohoming		225	225	hp%		10	10													0
Runeword48		Hand of Justice	1		110	tors									SurChamAmnLo	r29	r32	r11	r28			att-skill	Hammers Of Justice	20	50	pal		6	6																					0
