index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Civerb's Ward	0	Civerb's Vestments	lrg	Large Shield	7	19	9	lyel	lyel						5	2500	1	hp		1	1																																																																										0
Civerb's Icon	1	Civerb's Vestments	amu	Amulet	7	19	9	lyel	lyel						5	2500	2	hp		1	1																																																																										0
Civerb's Cudgel	2	Civerb's Vestments	gsc	Grand Scepter	7	19	9	lyel	lyel						5	2500		hp		1	1																																																																										0
Hsarus' Iron Heel	3	Hsarus' Defense	mbt	Chain Boots	7	6	3	dred	dred						5	2500	2	hp		1	1																																																																										0
Hsarus' Iron Fist	4	Hsarus' Defense	buc	Buckler	7	6	3	dred	dred						5	2500	2	hp		1	1																																																																										0
Hsarus' Iron Stay	5	Hsarus' Defense	mbl	Belt	7	6	3	dred	dred						5	2500	2	hp		1	1																																																																										0
Cleglaw's Tooth	6	Cleglaw's Brace	lsd	Long Sword	7	9	4	lred	lred						5	2500	2	hp		1	1																																																																										0
Cleglaw's Claw	7	Cleglaw's Brace	sml	Small Shield	7	9	4	lred	lred						5	2500	2	hp		1	1																																																																										0
Cleglaw's Pincers	8	Cleglaw's Brace	mgl	Chain Gloves	7	9	4	lred	lred						5	2500	2	hp		1	1																																																																										0
Iratha's Collar	9	Iratha's Finery	amu	Amulet	7	31	15	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Iratha's Cuff	10	Iratha's Finery	tgl	Light Gauntlets	7	31	15	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Iratha's Coil	11	Iratha's Finery	crn	Crown	7	31	15	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Iratha's Cord	12	Iratha's Finery	tbl	Heavy Belt	7	31	15	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Isenhart's Lightbrand	13	Isenhart's Armory	bsd	Broad Sword	7	16	8	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Isenhart's Parry	14	Isenhart's Armory	gts	Gothic Shield	7	16	8	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Isenhart's Case	15	Isenhart's Armory	brs	Breast Plate	7	16	8	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Isenhart's Horns	16	Isenhart's Armory	fhl	Full Helm	7	16	8	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Vidala's Barb	17	Vidala's Rig	lbb	Long Battle Bow	7	28	14	blac	blac						5	2500	2	hp		1	1																																																																										0
Vidala's Fetlock	18	Vidala's Rig	tbt	Light Plated Boots	7	28	14	blac	blac						5	2500	2	hp		1	1																																																																										0
Vidala's Ambush	19	Vidala's Rig	lea	Leather Armor	7	28	14	blac	blac						5	2500	2	hp		1	1																																																																										0
Vidala's Snare	20	Vidala's Rig	amu	Amulet	7	28	14	blac	blac						5	2500	2	hp		1	1																																																																										0
Milabrega's Orb	21	Milabrega's Regalia	kit	Kite Shield	7	34	17	dblu	dblu						5	2500	2	hp		1	1																																																																										0
Milabrega's Rod	22	Milabrega's Regalia	wsp	War Scepter	7	34	17	dblu	dblu						5	2500		hp		1	1																																																																										0
Milabrega's Diadem	23	Milabrega's Regalia	crn	Crown	7	34	17	dblu	dblu						5	2500	2	hp		1	1																																																																										0
Milabrega's Robe	24	Milabrega's Regalia	aar	Ancient Armor	7	34	17	dblu	dblu						5	2500	2	hp		1	1																																																																										0
Cathan's Rule	25	Cathan's Traps	bst	Battle Staff	7	22	11	dgrn	dgrn						5	2500	2	hp		1	1																																																																										0
Cathan's Mesh	26	Cathan's Traps	chn	Chain Mail	7	22	11	dgrn	dgrn						5	2500	2	hp		1	1																																																																										0
