index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Civerb's Vestments	Civerb's Vestments	0	oskill	66	3	3	oskill	77	3	3	pierce-fire		15	15	light		2	2	dmg-undead	0	28	28	slow		25	25	lifesteal		10	10	bar		3	3	oskill	Fire Mastery	2	2	dex		15	15	ltng-min		1	1	ltng-max		5	5	dmg-max		3	3	dmg-cold	100	252	252	allskills		1	1	res-ltng-max		5	5	0
Hsarus' Defense	Hsarus' Defense	0	thorns		10	10	dex		10	10																									lifesteal		12	12	fire-min	0	15	15	fire-max	0	20	20	openwounds		50	50	att		330	330	str		25	25	stamdrain		10	10	dmg-pois	150	86	86	0
Cleglaw's Brace	Cleglaw's Brace	0	nec		2	2	res-pois-max		5	5	move2		10	10	red-dmg		2	2	att/lvl	20			red-mag		4	4	att		12	12	move1		10	10	mana-kill		4	4	light		-1	-1	ease		-50	-50	red-mag		1	1	hp		5	5	str		10	10	hp/lvl	4			oskill	86	5	5	0
Iratha's Finery	Iratha's Finery	0	lifesteal		10	10	swing2		10	10	ac%		200	200	enr		10	10	aura	Resist Fire	8	8	att		64	64	red-mag		3	3	oskill	21	5	5	dmg%		70	70	balance2		40	40	manasteal		15	15	dmg-to-mana		20	20	mag%		50	50	skilltab	14	1	1	enr		6	6	dmg-pois	125	52	52	0
Isenhart's Armory	Isenhart's Armory	0	cast2		20	20	manasteal		5	5	swing2		40	40	regen-mana		5	5	res-fire		50	50	dmg%		100	100	str		25	25	mana		15	15	att		50	50	block		10	10	ac		15	15	dmg-to-mana		37	37	dmg-fire		35	35	thorns	0	20	20	stam		16	16	mana		50	50	0
Vidala's Rig	Vidala's Rig	0	dex		10	10	pal		1	1	str		10	10	oskill	63	1	1	ac		100	100	dmg%		80	80	res-pois		25	25	att		51	51	res-fire		30	30	dmg%		100	100	oskill	48	2	2	swing2		10	10	dmg-norm		50	50	deadly		40	40	move2		20	20	ac		100	100	0
Milabrega's Regalia	Milabrega's Regalia	0	ac		150	150	att-undead		40	40	hp	0	10	10	ac%		150	150	dmg-max		2	2	lifesteal		9	9					dex		10	10	res-cold-max		15	15	mana%		20	20	ac%		200	200	oskill	77	3	3	pois-min		16	16	pois-max		48	48	pois-len		75	75	ac		200	200	0
Cathan's Traps	Cathan's Traps	0	res-fire		30	30	dmg-max		6	6	fire-min		1	1	dex		1	1	fire-max		3	3	att-skill	39	5	3	dmg%		60	60	ac		100	100	mana		13	13	dmg-max		20	20	ac		14	14	hit-skill	45	10	10	regen		10	10	hp		30	30	ac%		65	65	att		20	20	0
Tancred's Battlegear	Tancred's Battlegear	0	gold%		100	100	dmg-cold	200	196	196	res-ltng		15	15	hp		40	40	sor		2	2	res-fire		7	7	skilltab	3	3	3	skilltab	19	1	1	lifesteal		5	5	reduce-ac		50	50	red-mag		10	10	res-all		8	8	dmg%		200	200	mana-kill		5	5	bar		1	1	hp		40	40	0
Sigon's Complete Steel	Sigon's Complete Steel	0	cast2		30	30	res-cold		15	15	ac%		40	40	fire-min		9	9	att-undead		325	325	fire-max		20	20	regen		20	20	hp		10	10	ac%		100	100	thorns		3	3	kill-skill	enchant	30	21	regen-stam		25	25	dex		10	10	stam		10	10	res-pois		10	10	str		2	2	0
