skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Attack		0		attack	1	1																																																																																							1	1																			0		both		weap			tpot							A1	A1	A1				1		1	1								1		1												1									1						1	1					0	8	0	0	1					1	0	1																																								1								8	128																																				0	0
Kick		1		kick	2	2																																																																																							0	0																			0		h2h	4											KK	KK	xx						1	1							1			1												1									1						0	0					0	8	0	0																																																1							1	8																																					0	0
Throw		2		throw	65	3																																																																																							2	2																			0		rng		thro										TH	TH	xx				1													1												1															1	1					0	8	0	0	1																																															1								8	128																																				0	0
Unsummon		3		unsummon	3	4																																																																								1	necromancer_unsummon														3	0																			0		rng												SC	SC	xx						1						1																	1									1						0	1					0	8	0	0	1	1																																														1								8																																					0	0
Left Hand Throw		4		left hand throw	65	5																																																																																							2	2																			0		rng	1	thro										S4	S4	xx			1	1													1												1															1	1					0	8	0	0	1																																															1								8																																					0	0
Left Hand Swing		5		left hand swing	1	1																																																																																							4	1																			0		both	1	weap			tpot							S3	S3	S3			1	1		1	1										1												1															0	0					0	8	0	0	1					1	0	1																																								1								8																																					0	0
Tesla Arrow	chained	380	ama	tesla arrow	39	26		1											lightningarrowfall	lightningarrowfall	lightningarrowfall				attackbuffstate			14 + stat('teslaarrowrange'.accr)	item_healafterkill	blvl*25																																																	amazon_multi_arrow_1															27						lightningarrowfall	lightningarrowfall	lightningarrowfall										1	7		rng		bow										A1	A1	xx				1		1	1								1		1			1									8	35														1	1					1	8	10	2	1											dm34 + stat('targetstoteslaarrow'.accr)	Range of Bolt Missiles	50										10	Radius of jump to next target			2	# of target jump hits baseline	4	# of target jump hits per level																	1					128			8															ltng	72	87	170	199	229	283	183	99	183	212	255	325	stat('energy'.accr) + stat('dmgtochained'.accr)								384	3000	0
Flaming Arrow	multishot	373	ama	flaming arrow	4	8											1		flamingarrow	flamingarrow																																																																									11	17						flamingarrow	flamingarrow											1	7		rng		bow										A1	A1	xx				1		1	1										1			1									1	35														1	1					1	8	7	2	1											dm12 + stat('maxarrowstomultishotelement'.accr) + (stat('arrowpower'.accr)/5)	dm12	par3	par3	1 + stat('multishoteventama'.accr)	# of missiles that can trigger item modifier events							1		5		1																				1	100	30						8	128														fire	116	52	95	102	109	116	175	55	99	106	113	121	stat('energy'.accr) + stat('dmgtomultishot'.accr)								256	1000	0
Magic Quiver		452	ama	magic quiver		25																			magicquiverstate		500		dmgtomultishot	(lvl*3)*(1 + stat('enabledoublebenefittomagicquiver'.accr))	dmgtofragment	(lvl*3)*(1 + stat('enabledoublebenefittomagicquiver'.accr))																																															sorceress_enchant																																	1	4		none		bow										SC	SC	xx												1	1							1			1			sorceress_enchant			3	35														0	1					1	8	7	2	1	1																						150	Buff Duration baseline	0	Buff Duration per level	30		2																		1								8																																		1		640	16000	0
Critical Strike		9	ama	critical strike																																											criticalstrike			passive_critical_strike	dm12																																																													1	4		rng		spea	miss											xx				1																									1	35														0	0					0	8	0	0	1								1															5	Min % Chance	80	Max % Chance																					1								8																																				256	1000	0
Fan of Glaives		410	ama	fan of glaives	13	29		1	11										fanofspearsmissle						thunderstorm		ln12																																																				sorceress_thunder_cast											light_cast_2						19				fanofspearsmissle				1								1	5		none												SC	SC	xx				1																1									15	35														0	1					1	8	0	0	1		1	1	75/(1 + stat('fanofglaivecdr'.accr))							1										skill('Evil Spearit'.blvl)*(0 + stat('skillsynFOGandES'.accr))		3600	Buff Duration baseline	600	Buff Duration per level	10	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	1	Max % reduction of periodic damage rate	9	Radius											1					128			8		86	102	202	236	270	336	218	120	218	252	304	384	stat('dexterity'.accr) + stat('dmgtofragment'.accr) + stat('dmgtotrap'.accr) + clc6																						768	32000	0
Frost Arrow	multishot	374	ama	frost arrow	4	8											1		frostarrow	frostarrow																																																																									11	17						frostarrow	frostarrow											1	4		rng		bow										A1	A1	xx				1		1	1										1			1									1	35														1	1					1	8	7	2	1											dm12 + stat('maxarrowstomultishotelement'.accr) + (stat('arrowpower'.accr)/5)	dm12	par3	par3	1 + stat('multishoteventama'.accr)	# of missiles that can trigger item modifier events							1		5		1																				1	100	30						8	128														cold	116	52	95	102	109	116	175	55	99	106	113	121	stat('energy'.accr) + stat('dmgtomultishot'.accr)	50							384	3000	0
Meteor Arrow	bombardment, fragment	375	ama	meteor arrow	39	11		1											meteorarrowmissle	meteorarrowmissle	meteorarrowmissle				attackbuffstate		50		item_fastercastrate	blvl*3																																																																84						meteorarrowmissle	meteorarrowmissle	meteorarrowmissle										1	5		none		bow										SC	SC	xx				1		1	1								1		1			1						amazon_eyeofzeus			8	35														1	1					1	8	9	2	1											1		75								((stat('item_fastercastrate'.accr) * stat('FCRsynergytometeorarrow'.accr))																										1	100	35						8	128														fire	62	74	148	172	197	246	160	86	160	184	222	283	stat('energy'.accr) + stat('dmgbombardment'.accr) + stat('dmgtofragment'.accr) + clc6								512	8000	0
Dodge		13	ama	dodge																																											dodge			passive_dodge	dm12																												amazon_dodge_1																																	1	0		h2h												S1	S1	xx																													6	35														0	0					0	8	0	0	1								1															10	Min % Chance	40	Max % Chance											2	Anim Mode (0 = enable uninterruptable Anim | 1 = disable Anim | 2 = enable interruptable anim)									1								8																																				384	3000	0
Shattering Javelin	fragment	411	ama	shattering javelin	39	11													shatterjavelin	shatterjavelin	shatterjavelin				attackbuffstate			7	passive_cold_pierce	stat('coldrrtoshatterjav'.accr)	manarecoverybonus	blvl*12																																																														19						shatterjavelin	shatterjavelin	shatterjavelin										1	4		h2h		spea										A1	A1	xx				1		1	1										1			1									6	35														1	1					1	8	8	2	1											1		50				0										1		1																		1	100	30						8	128														cold	62	74	148	172	197	246	160	86	160	184	222	283	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoearth'.accr) 	50							384	3000	0
Cluster Grenades	trap, earth	377	ama	cluster grenades	39	123													landminemisslemaker						attackbuffstate			4	dmgbombardment	blvl*3																																																																97		91				landminemisslemaker				0	Missile Velocity Adder							1	3		none		bow										SC	SC	xx				1	4				1								1			1						necromancer_poison_cast			12	35												clc6		1	1					1	8	25	2	1													125				8- (stat('clustercdr'.accr)*2)	Delay between Missiles created			60/(1 + stat('clustercdr'.accr))	cooldown	5	Missile Range																							1								8															fire	78	92	182	206	236	300	192	106	192	222	268	340	stat('energy'.accr) + stat('dmgtoearth'.accr) + stat('dmgtotrap'.accr) + (stat('clustercdr'.accr)*100)                                   								896	64000	0
Arrow Hail	wind, bombardment	378	ama	arrow hail	6	28													arrowhailcenter	arrowhailcenter	arrowhailcenter																																																																									28						arrowhailcenter												1	0		none		bow										A1	A1	xx				1	4	1	1		1								1			1									12	35														1	1					1	8	50	2	1											8/(1 + stat('arrowrainrangedmg'.accr))	radius	8/(1 + stat('arrowrainrangedmg'.accr))	missle spawn delay in frames																																	1								8															cold	116	58	72	86	100	116	144	64	80	94	108	122	stat('energy'.accr) + stat('dmgtowind'.accr) + stat('dmgbombardment'.accr) + (stat('arrowrainrangedmg'.accr)*100)	50					5		256	1000	0
Slow Missiles		17	ama	slow missiles		6																		50563		slowmissiles	ln34	ln56	skill_handofathena	100-dm12	skill_missile_damage_scale	100-dm78																																															amazon_handofathena											cast_slowmissiles																						1	8		none												SC	SC	xx					4															1						amazon_handofathena	cast_slowmissiles		12	35														0	1					1	8	10	0	1																							25	% Velocity of missiles Min	75	% Velocity of missiles Max	300	Duration baseline	150	Duration per level	27	Radius baseline	0	Radius per level	0	Missile Damage Reduction Min	40	Missile Damage Reduction Max									1								8																																				512	8000	0
Lightning Arrow	multishot	379	ama	lightning arrow	4	8											1		lightningarrow	lightningarrow																																																																									11	17						lightningarrow	lightningarrow											1	7		rng		bow										A1	A1	xx				1		1	1										1			8	17								1	35														1	1					1	8	10	2	1											dm12 + stat('maxarrowstomultishotelement'.accr) + (stat('arrowpower'.accr)/5)	dm12	par3	par3	1 + stat('multishoteventama'.accr)	# of missiles that can trigger item modifier events							1		5		1																				1	100	30						8	128														ltng	116	52	95	102	109	116	175	55	99	106	113	121	stat('energy'.accr) + stat('dmgtomultishot'.accr)								256	1000	0
Shatter Arrow	fragment	376	ama	shatter arrow	6	80		1								shatterarrow																																																																																			shatterarrow													1	4		rng		bow										A1	A1	xx				1		1	1										1			1									6	35														1	1					1	8	8	2	1											blvl* 25																																				1	100	30						8	128														cold	43	52	102	119	136	169	109	59	109	126	152	194	stat('energy'.accr) + stat('dmgtofragment'.accr)	50							384	3000	0
Flaming Spears	fragment	409	ama	flaming spears	6	11													spearpuncture	spearpuncture																																																																										19						spearpuncture	spearpuncture											1	7		h2h		spea										A1	A1	xx				1		1	1								1		1			1									6	35														1	1					1	8	8	2	1											1		((stat('spearsynergy'.accr)* (1+stat('doublespearsynergytoflamingspears'.accr)))										2	# of Missiles created baseline	0	# of Missiles created per level	1	Missile Activation Frame																			1	100	30						8															fire	54	65	130	151	173	216	140	76	140	162	194	248	stat('energy'.accr) +  stat('dmgtofragment'.accr) + clc2								384	3000	0
Avoid		18	ama	avoid																																											avoid			passive_avoid	dm12																												amazon_dodge_1																																	1	0		h2h												S1	S1	xx																				1									12	35														0	0					0	8	0	0	1								1															10	Min % Chance	40	Max % Chance											2	Anim Mode (0 = enable uninterruptable Anim | 1 = disable Anim | 2 = enable interruptable anim)									1								8																																				512	8000	0
Wind Strike	melee explosion, wind	484	ama	wind strike	39	11													spearcrushmissle	spearcrushmissle	spearcrushmissle				attackbuffstate			9	item_fastermovevelocity	blvl*3																																																																19						spearcrushmissle	spearcrushmissle	spearcrushmissle										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1			1									8	35														1	1					1	8	11	2	1											1	# of Bolt Missiles created	50				0 + stat('windstrikeconverttoltng'.accr)	% Damage Dealt as Elemental (Used only if there is an Etype)									1		1																		1	100	30						8		68	79	157	185	211	263	170	94	170	196	237	299	stat('dexterity'.accr) + stat('spearsynergy'.accr) + stat('dmgtomeleeexplosion'.accr) + stat('dmgtowind'.accr) + (stat('windstrikeconverttoltng'.accr)*2)	ltng																					640	16000	0
Unstable Current	trap, fragment, totem	412	ama	unstable current		28													unstablemaker	unstablemaker	unstablemaker							ln12																																																			sorceress_cast_fire											fire_cast_2				28						unstablemaker	unstablemaker	unstablemaker										1	6		none												SC	SC	xx				1	4				1								1			1						cast_innersight	cast_innersight		6	35												15		1	1					1	8	10	3	1											1		20																																		1								8															ltng	11	1	1	1	1	1	128	51	69	85	102	119	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtotrap'.accr) + stat('dmgtototem'.accr)								640	16000	0
Caustic Spear	fragment	25	ama	caustic spear												acidspear																																																															sorceress_cast_cold											cast_slowmissiles				29						acidspear												1	8		none		spea										SC	SC	xx				1													1			1						sorceress_cast_cold			12	35												31-(blvl)		1	1					1	8	10	3	1																																															1	100	30						8															pois	24	9	24	38	53	81	38	9	27	42	56	85	stat('energy'.accr) + stat('spearsynergy'.accr) + stat('dmgtofragment'.accr)	25							896	64000	0
Chain Lightning Arrow	ELECTROMAGNETIC ARROW-homing	381	ama	chain lightning arrow												chainlightningarrowtrigger								42371				15																																																																							chainlightningarrowtrigger													1	8		rng		bow										A1	A1	xx				1		1	1										1			1									12	35												(80 - (stat('arrowpower'.accr)*2))/(1 + stat('chainlightningarrowcdr'.accr))		1	1					1	8	20	2	1											3 + (lvl/7)	# of furylightning Missiles created												# of Lightning Missiles created baseline		# of Lightning Missiles created per level		Target Search Radius																			1					128			8															ltng	82	97	194	227	259	324	211	114	211	244	292	373	stat('energy'.accr) + stat('dmgtohoming'.accr)								896	64000	0
Elemental Legend		382	ama	elemental legend		25																			multimastery		20000		passive_ltng_mastery	ln12	passive_fire_mastery	ln12	passive_cold_mastery	ln12	item_tohit_percent	ln34	dmgtowind	(blvl)*stat('winddmgtoeleleg'.accr)	dmgtofragment	(blvl)*stat('fragmentdmgtoeleleg'.accr)																																																																								1	0		none												SC	SC	xx																				1						sorceress_enchant			20	35														1	1					1	8	50	2	1	1																						10	Damage % baseline	2	Damage % per level	10		10																		1								8																																				896	64000	0
Power Of Arrows		456	ama	power of arrows		25																			arrowpowerstate		20000		arrowpower	blvl	tohit	blvl*100	spearsynergy	(blvl)*stat('speardamagetopowerofarrows'.accr)	dmgtomultishot	(blvl)*stat('multishottoPOA'.accr)																																											sorceress_enchant																																	1	0		none												SC	SC	xx																				1						sorceress_enchant			12	15														1	1					1	8	50	2	1	1																																														1								8																																				768	32000	0
Evade		29	ama	evade																																											evade			passive_evade	dm12																												block_arrow_1	amazon_dodge_1																																1	0		h2h												S1	S1	xx																													20	35														0	0					0	8	0	0	1								1															10	Min % Chance	40	Max % Chance																					1								8																																				768	32000	0
Heavens Arrow	fragment, bombardment	384	ama	heavens arrow	13	29		1	11										strafeboltnew						thunderstorm		ln12																																																				amazon_dodge_1									tigerstrike1		light_cast_2						84				strafeboltnew				1								1	5		none												SC	SC	xx				1																1									30	35														0	1					1	8	0	0	1		1	1	75/(1 + stat('heavensarrowcd'.accr))							1										skill('Holy Spearit'.blvl)*(0 + stat('skillsynHAandHS'.accr))		3600	Buff Duration baseline	600	Buff Duration per level	10	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	1	Max % reduction of periodic damage rate	12	Radius											1					128			8															mag	758	382	474	570	667	758	950	427	524	619	712	808	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgbombardment'.accr) + clc6								768	32000	0
Seismic Spear		558	ama	seismic spear	39											seismicmaker									attackbuffstate			7	item_fastercastrate	10 + blvl																																																																					seismicmaker													1	7		none		spea										SC	SC	xx				1													1			1									20	35														1	1					1	8	10	2	1													50																																		1								8		97	118	234	272	312	389	252	137	252	292	349	446	stat('dexterity'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoearth'.accr)																						384	3000	0
Spear Maiden		483	ama	spear maiden		25																			spearwarrior		20000		spearsynergy	lvl*3	armorclass_vs_missile	100 + (blvl*100)	item_healafterkill	stat('lifeandmanaafterkilltospearmaiden'.accr)	item_manaafterkill	stat('lifeandmanaafterkilltospearmaiden'.accr)	normal_damage_reduction	stat('lifeandmanaafterkilltospearmaiden'.accr)	magic_damage_reduction	stat('lifeandmanaafterkilltospearmaiden'.accr)																																																																								1	0		none		spea										SC	SC	xx																				1						sorceress_enchant			20	35														1	1					1	8	10	2	1	1																						0	Resistance % Min	80	Resistance % Max																					1								8																																				896	64000	0
Queen Of The Jungle		549	ama	queen of the jungle																																											junglequeen			item_maxhp_percent	blvl	dexpercent	blvl/3	maxpoisonresist	blvl/3	hpregen	lvl*50																																																							1	0																xx																													25	35														0	0					0	8	0	0	1	1							1															1	Min % Chance	30	Max % Chance																					1								8																																				896	64000	0
Lightning Fury	homing	35	ama	lightning fury												lightningfury								42371				6																																																																							lightningfury													1	8		rng		spea										SC	SC	xx				1		1	1										1			1									12	35														1	1					1	8	10	2	1											ln12 + stat('lightningfurymaxprojectiles'.accr)	# of furylightning Missiles created											4	# of Lightning Missiles created baseline	0	# of Lightning Missiles created per level	9	Target Search Radius																			1	100	30						8	128														ltng	10	0	0	0	0	0	198	99	149	198	248	248	stat('energy'.accr) + stat('spearsynergy'.accr) + stat('dmgtohoming'.accr)								896	64000	0
Evil Spearit	chained	385	ama	evil spearit	10	14													javelinchain	javelinchain	javelinchain							par1																																																																								javelinchain	javelinchain	javelinchain										1	8		h2h		spea	jave									A1	A1	xx				1		1	1								1		1			1									1	35														1	1					1	8	7	2	1											11	Range of Bolt Missiles	dm34 + stat('targetstoevilspearit'.accr)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)			skill('Fan of Glaives'.blvl)*(0 + stat('skillsynFOGandES'.accr))	leg synergy	11	Radius of jump to next target			2	# of target jump hits baseline	7	# of target jump hits per level																	1	100	30						8		72	85	167	195	223	277	180	99	180	208	251	317	stat('dexterity'.accr) + stat('spearsynergy'.accr) + stat('dmgtochained'.accr) + clc6																						896	64000	0
Holy Spearit	fragment, bombardment, holy	413	ama	holy spearit	6	11		1											newboltmissle	newboltmissle	newboltmissle																																																										sorceress_cast_cold											ice_cast_1				84						newboltmissle	newboltmissle	newboltmissle										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1			1						sorceress_cast_cold			8	35														1	1					1	8	20	2	1											1										skill('Heavens Arrow'.blvl)*(0 + stat('skillsynHAandHS'.accr))	leg synergy																									1	100	30						8															mag	339	170	212	255	298	339	424	192	235	277	319	361	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgbombardment'.accr) + clc6								512	8000	0
Volcanic Strike	chained	387	sor	volcanic strike	10	14													fireballsmack	fireballsmack	fireballsmack							par1																																																																								fireballsmack	fireballsmack	fireballsmack										1	8		h2h		staf	swor									A1	A1	xx				1		1	1								1		1			1									1	35														1	1					1	8	7	2	1											8	Range of Bolt Missiles	dm34 + stat('volcanicstrikemaxchainhits'.accr)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)			(stat('item_fasterattackrate'.accr)*(0 + stat('FARVSS'.accr)))		11	Radius of jump to next target			2	# of target jump hits baseline	6	# of target jump hits per level																	1	100	30						8															fire	244	108	199	216	230	244	369	114	207	222	237	253	stat('energy'.accr) + stat('dmgtochained'.accr) + clc6								256	1000	0
