index	*ID	*order	*copied	*legendary	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	1	1			0	1		1	1	10	12	hax	hand axe		5	5000	oran	oran		invhaxu				bar		1	1	dmg%		150	300	deadly		10	30	mana-kill		10	20	dmg-max		10	30	dex		10	25	swing1		10	25	cast3		10	25	oskill	Axe Mastery	1	2	oskill	Homing Axes	1	2										0
Brain Cutter	2	2			0	1		1	1	12	20	axe	Axe		5	5000	dgld			invaxeu				gethit-skill	Brain Grenade	12	12	move1		15	25	dex		20	25	dmg-fire		50	100	dmg-ltng		50	100	dmg-cold		50	100	swing1		20	25	att-skill	Throwing Axes	15	10																		0
Double Cut	3	3			0	1		1	1	25	30	2ax	Double Axe		5	5000	lgry	lgry						sock		1	1	oskill	Frenzy	2	2	dmg%		100	200	oskill	Axe Mastery	1	3	dex		10	30	move1		10	20	str		10	25	att		200	300																		0
Mindrend	4	4			0	1		1	1	42	47	mpi	Military Pick		5	5000	lgrn			invmpiu				sock		1	1	dmg%		100	350	prop-dmgtoearth		20	40	dmg-demon		10	200	hp		100	150	move1		10	20	str		20	25	att		200	300	oskill	Splitting Earth	2	3	oskill	Forcewave	2	3										0
Graviton	5	5			0	1		1	1	54	62	wax	War Axe		5	5000	blac	blac						hit-skill	Homing Axes	4	30	hit-skill	Judgement Cross	4	30	hit-skill	Storm Strike	4	20	res-ltng-max		9	9	dex		30	30	bar		2	3	oskill	Splitting Earth	3	3	att		800	1000	extra-ltng		30	50	prop-dmgtoearth		30	70	dru		2	3						0
Fechmars Axe	6	6			0	1		1	1	16	20	lax	Large Axe		5	5000	lpur	lpur						sock		1	1	hp		200	200	oskill	Crippling Wave	7	7	gethit-skill	Axe Storm	12	20	att-skill	Axe Storm	8	20																														0
Furious Slash	7	7			0	1		1	1	28	30	bax	Broad Axe		5	5000	dpur	dpur						sock		1	1	att-skill	Splitting Earth	10	12	dmg-max		100	100	dex		40	40	dmg-demon		100	100	oskill	Ravager	3	3	oskill	Stone Spears	3	3	oskill	Weaken	3	3	swing2		30	40	prop-dmgtofragment		30	40										0
The Chieftan	8	8			0	0		1	1	39	39	btx	Battle Axe		5	5000	oran			invbtxu				sock		1	1	res-pois-len		190	190	cast2		48	48	ac%		511	511	crush		12	12	hp		38	38	res-ltng		134	134	dmg-to-mana		37	37	res-all		14	14	res-fire		53	53	dmg-min		7	7	dmg-fire/lvl	24				0
Monsterous Cleave	9	9			0	1		1	1	51	60	gax	Great Axe		5	5000	whit			invgaxu				sock		1	1	prop-dmgtoearth		50	110	dmg-max		100	100	dex		40	40	dmg-demon		100	100	oskill	Splitting Earth	3	3	oskill	Stone Spears	3	3	att		600	800	res-all		40	50	ac		860	860										0
atma	10	10			0	0		1	1	58	29	gix	Giant Axe		5	5000	blac	blac						sock		1	1	att-skill	53	5	0	ac%		445	445	hit-skill	Venom	25	15	ltng-min		4	4	ltng-max		89	89	lifesteal		40	40	res-pois		44	44	freeze	0	1	1	ama	0	2	2	enr		66	66	gethit-skill	48	12	3		0
