name	*order	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Hand Axe	1	axe		hax	hax	hax	0		1	1	0	xxx			12	24							2	10	100	100	70	70	180		4	1	0	170	4510		905	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3		1		1	1	1	1			255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	1	axe	2ax	1	0	
Axe	2	axe		axe	axe	axe	0		1	1	0	xxx			18	36							2	10	100	100	90	85	180		8	1	0	403	8821		905	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	1	2ax	mpi	1	0	
Double Axe	3	axe		2ax	axe	2ax	0		1	1	0	xxx			22	44							2	10	100	100	90	85	180		17	1	0	873	20349		905	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255			1	1	30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	mpi	wax	1	0	
Military Pick	4	axe		mpi	axe	mpi	0		1	1	0	xxx			30	60							2	10	100	100	116	100	180		26	1	0	1421	38999		905	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255	1	1		1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	1	wax	xxx	1	0	
War Axe	5	axe		wax	hax	wax	0		1	1	0	xxx			40	80							2	10	100	100	134	125	180		35	1	0	2123	68075		905	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255	2	2	1	xxx	xxx	1	0	
Large Axe	6	axe		lax	lax	lax	0		1	1	0	xxx						1	60	70			2	10	100	100	70	70	180		9	1	0	354	7624		905	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	1	btx	gax	1	0	
Broad Axe 	7	axe		bax	lax	bax	0		1	1	0	xxx						1	70	80			2	10	100	100	90	85	180		16	1	0	806	18172		905	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	1	gax	gix	1	0	
Battle Axe	8	axe		btx	btx	btx	0		1	1	0	xxx						1	80	90			2	10	100	100	116	100	180		23	1	0	1262	32454		905	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255	5	2	1	gix	xxx	1	0	
Great Axe	9	axe		gax	btx	gax	0		1	1	0	xxx						1	100	110			2	10	100	100	134	125	180		32	1	0	1916	58068		905	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Giant Axe	10	axe		gix	gix	gix	0		1	1	0	xxx						1	125	135			2	10	100	100	147	130	180		38	1	0	2410	81070		905	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255	2	2	1	xxx	xxx	1	0	
